participant,pre_threshold_mean,pre_threshold_mode,pre_threshold_median,post_threshold_mean,post_threshold_mode,post_threshold_median,delta_threshold_mean,delta_threshold_mode,delta_threshold_median,pre_threshold_mean_last5,pre_threshold_mode_last5,pre_threshold_median_last5,post_threshold_mean_last5,post_threshold_mode_last5,post_threshold_median_last5,delta_threshold_mean_last5,delta_threshold_mode_last5,delta_threshold_median_last5
166849_Utility_discrimination_2024_2cat_2025-03-19_19h23.08.912,1.5632232395374799,1.54,1.550076557940745,1.6798906824341255,1.6600000000000001,1.6685327326143413,-0.11666744289664566,-0.1200000000000001,-0.11845617467359637,0.6130182018574307,1.4600000000000002,0.4204832697730838,0.4800746669036562,0.79,0.657828273990949,0.13294353495377453,0.6700000000000002,-0.2373450042178652
229150_Utility_discrimination_2024_2cat_2025-03-14_20h34.33.419,0.5321067499798846,0.53,0.5272439645097877,0.3026929973907543,0.30000000000000004,0.2964856509439713,0.22941375258913033,0.22999999999999998,0.23075831356581644,0.36746577042161066,0.38,0.3827505853461207,0.518827662993994,0.45999999999999996,0.4945525782098962,-0.1513618925723833,-0.07999999999999996,-0.11180199286377546
053539_Utility_discrimination_2024_2cat_2025-03-17_00h40.52.420,0.6399337756965391,0.63,0.6330542875118254,0.3240580089735733,0.32,0.31814939162976114,0.3158757667229658,0.31,0.3149048958820642,0.023035113967163498,0.1,0.036292764877864786,0.3118006876001028,0.28,0.30093910034535687,-0.2887655736329393,-0.18000000000000002,-0.26464633546749206
856852_Utility_discrimination_2024_2cat_2025-03-14_11h38.16.574,0.3591158548863601,0.36,0.3538955887321622,1.4078326274600224,1.3800000000000001,1.3932482347467547,-1.0487167725736621,-1.02,-1.0393526460145925,-0.057314745225646946,0.0,-0.04692232554280654,0.8814212831143431,0.85,0.8654544426080214,-0.93873602833999,-0.85,-0.9123767681508279
059774_Utility_discrimination_2024_2cat_2025-03-18_22h04.37.229,0.1254084518169304,0.12000000000000001,0.11973677710905124,0.18197970775473604,0.18,0.17544824560982641,-0.05657125593780565,-0.059999999999999984,-0.05571146850077517,0.3860543987324351,0.31,0.3573443464996521,0.04985526590969502,0.0,0.024247434773299437,0.33619913282274005,0.31,0.33309691172635264
848799_Utility_discrimination_2024_2cat_2025-03-12_13h57.25.042,0.3433146244619452,0.33999999999999997,0.3374400261401891,0.28033108767986903,0.28,0.274915572977744,0.06298353678207619,0.05999999999999994,0.06252445316244509,-0.02707024012703199,0.060000000000000005,-0.012292649022001681,0.43433211677119854,0.35,0.4031631698916254,-0.4614023568982305,-0.29,-0.41545581891362704
664805_Utility_discrimination_2024_2cat_2025-03-14_19h38.57.391,0.23177719550796416,0.23,0.2266065210309266,0.3337991754964844,0.33,0.32746954379776766,-0.10202197998852025,-0.1,-0.10086302276684106,0.23628388983023915,0.17,0.20959697072271619,0.2806963466161987,0.22,0.25694974339863597,-0.044412456785959536,-0.04999999999999999,-0.04735277267591978
953060_Utility_discrimination_2024_2cat_2025-03-17_16h04.09.188,0.19168736786833365,0.19,0.18622171255601924,0.3554397142324893,0.35,0.34991367454565514,-0.16375234636415567,-0.15999999999999998,-0.1636919619896359,0.24722008006434815,0.18,0.2243782326619875,0.31394711858223007,0.42000000000000004,0.38299890509933365,-0.06672703851788192,-0.24000000000000005,-0.15862067243734615
537791_Utility_discrimination_2024_2cat_2025-03-14_20h45.35.085,0.24397829021234615,0.24000000000000002,0.23840845164395957,0.1816855071337477,0.18,0.1762353445978007,0.06229278307859845,0.060000000000000026,0.06217310704615886,0.4409785842709857,0.36,0.4115247505343894,-0.10696946966471818,-0.009999999999999995,-0.09197055979608956,0.5479480539357039,0.37,0.503495310330479
501271_Utility_discrimination_2024_2cat_2025-03-14_15h23.42.123,0.16409572684964263,0.16,0.15861891922406143,0.18126793014848147,0.18,0.1757736174543468,-0.01717220329883884,-0.01999999999999999,-0.01715469823028537,0.326819388763966,0.23,0.2907563525099655,0.1763246765839952,0.12000000000000001,0.1468209569640283,0.1504947121799708,0.11,0.1439353955459372
