participant,feature_index,pre_threshold_mean,pre_threshold_mode,pre_threshold_median,post_threshold_mean,post_threshold_mode,post_threshold_median,delta_threshold_mean,delta_threshold_mode,delta_threshold_median,pre_threshold_mean_last5,pre_threshold_mode_last5,pre_threshold_median_last5,post_threshold_mean_last5,post_threshold_mode_last5,post_threshold_median_last5,delta_threshold_mean_last5,delta_threshold_mode_last5,delta_threshold_median_last5
166849_Utility_discrimination_2024_2cat_2025-03-19_19h23.08.912,0,1.4931484719999908,1.4700000000000002,1.4809443985068906,1.5381627259146935,1.53,1.5313941064064578,-0.04501425391470271,-0.05999999999999983,-0.05044970789956715,0.12265679440758642,0.1,0.10287937567971826,0.1043087832206141,0.1,0.0964696021209165,0.018348011186972324,0.0,0.006409773558801762
229150_Utility_discrimination_2024_2cat_2025-03-14_20h34.33.419,0,0.6820116508928653,0.66,0.6697650245541414,0.47550076182409984,0.41000000000000003,0.44547429464570887,0.20651088906876547,0.25,0.22429072990843257,0.003147105597824343,0.1,0.019166087505565907,0.3736913431998481,0.38,0.39541431511729686,-0.37054423760202376,-0.28,-0.37624822761173093
053539_Utility_discrimination_2024_2cat_2025-03-17_00h40.52.420,0,0.48091430620792663,0.47,0.47172925688017386,0.3475873207055384,0.32,0.33205312076753324,0.13332698550238825,0.14999999999999997,0.13967613611264063,0.35905087264858004,0.54,0.4706903433001647,0.29408544798552194,0.27,0.28343329777073845,0.0649654246630581,0.27,0.18725704552942624
856852_Utility_discrimination_2024_2cat_2025-03-14_11h38.16.574,0,0.2380367588006366,0.24000000000000002,0.2346972097772536,1.353686017755609,1.32,1.3388705242350294,-1.1156492589549722,-1.08,-1.1041733144577757,0.4549934374967828,0.38,0.4267004324553211,0.44921020549039337,0.44000000000000006,0.4521014172485631,0.005783232006389416,-0.06000000000000005,-0.025400984793242043
059774_Utility_discrimination_2024_2cat_2025-03-18_22h04.37.229,0,0.038850625228096076,0.03,0.03199235929482308,0.1672571551014328,0.1,0.1307384607592846,-0.12840652987333673,-0.07,-0.09874610146446153,-0.12363421632416044,-0.07999999999999999,-0.117333949950949,0.037140398756005166,-0.01999999999999999,0.009137944354041583,-0.1607746150801656,-0.06,-0.1264718943049906
848799_Utility_discrimination_2024_2cat_2025-03-12_13h57.25.042,0,0.2892360364510453,0.27,0.2758007821903006,0.3239747331634608,0.32,0.3183356742471577,-0.03473869671241553,-0.04999999999999999,-0.04253489205685712,-0.043545971746566325,0.060000000000000005,-0.02590147508984464,-0.0717953589187609,0.0,-0.05820767094819443,0.02824938717219458,0.060000000000000005,0.03230619585834979
664805_Utility_discrimination_2024_2cat_2025-03-14_19h38.57.391,0,0.15621343391234072,0.15000000000000002,0.14852591574416094,0.19365951429144795,0.17,0.17928008307989468,-0.03744608037910724,-0.01999999999999999,-0.030754167335733745,-0.04533393563456778,-0.04000000000000001,-0.052748406823931226,0.2641048236821801,0.18,0.23486973237846562,-0.30943875931674786,-0.22,-0.28761813920239687
953060_Utility_discrimination_2024_2cat_2025-03-17_16h04.09.188,0,0.19587417400062512,0.19,0.1884687834805488,0.3387761409738993,0.32,0.32809182122766833,-0.14290196697327417,-0.13,-0.13962303774711954,-0.0812143805497475,0.0,-0.06602621696786751,0.5076957958669966,0.43000000000000005,0.4796743019611194,-0.5889101764167441,-0.43000000000000005,-0.5457005189289869
537791_Utility_discrimination_2024_2cat_2025-03-14_20h45.35.085,0,0.1790964734684112,0.17,0.17212231472307274,0.1521695551445223,0.15000000000000002,0.14668335188155704,0.02692691832388891,0.01999999999999999,0.0254389628415157,0.3523017520192451,0.26,0.31659646035080447,-0.09350921725568503,-0.01999999999999999,-0.0796693275910142,0.44581096927493014,0.28,0.39626578794181866
501271_Utility_discrimination_2024_2cat_2025-03-14_15h23.42.123,0,0.10027880012626808,0.1,0.09394371726128792,0.17034208702876585,0.16,0.1626102417814153,-0.07006328690249777,-0.06,-0.06866652452012739,-0.12021894152499377,-0.07,-0.1119232352756423,0.3377976764395777,0.24000000000000002,0.302084296349737,-0.4580166179645715,-0.31000000000000005,-0.4140075316253793
788879_Utility_discrimination_2024_2cat_2025-03-15_15h55.58.904,0,0.1811079502538971,0.18,0.17280793034675757,0.20562863738188786,0.16,0.17695423263574075,-0.02452068712799077,0.01999999999999999,-0.004146302288983189,-0.1393066061706749,-0.12,-0.14310467870901017,-0.03496931802513756,-0.07,-0.05544821343210449,-0.10433728814553733,-0.04999999999999999,-0.08765646527690568
509243_Utility_discrimination_2024_2cat_2025-03-14_00h08.13.599,0,1.0612153033138705,1.04,1.049386487721897,1.2368729354607835,1.2200000000000002,1.226119864720021,-0.175657632146913,-0.18000000000000016,-0.17673337699812408,0.5146362623456008,0.63,0.6041530025718969,0.7251542854300536,0.62,0.7282635361933251,-0.21051802308445278,0.010000000000000009,-0.12411053362142821
