participant,feature_index,pre_threshold_mean,pre_threshold_mode,pre_threshold_median,post_threshold_mean,post_threshold_mode,post_threshold_median,delta_threshold_mean,delta_threshold_mode,delta_threshold_median,pre_threshold_mean_last5,pre_threshold_mode_last5,pre_threshold_median_last5,post_threshold_mean_last5,post_threshold_mode_last5,post_threshold_median_last5,delta_threshold_mean_last5,delta_threshold_mode_last5,delta_threshold_median_last5,alpha_angle
166849_Utility_discrimination_2024_2cat_2025-03-19_19h23.08.912,0,1.4931484719999908,1.4700000000000002,1.4809443985068906,1.5381627259146935,1.53,1.5313941064064578,-0.0450142539147027,-0.0599999999999998,-0.0504497078995671,0.1226567944075864,0.1,0.1028793756797182,0.1043087832206141,0.1,0.0964696021209165,0.0183480111869723,0.0,0.0064097735588017,0.0
229150_Utility_discrimination_2024_2cat_2025-03-14_20h34.33.419,0,0.6820116508928653,0.66,0.6697650245541414,0.4755007618240998,0.41,0.4454742946457088,0.2065108890687654,0.25,0.2242907299084325,0.0031471055978243,0.1,0.0191660875055659,0.3736913431998481,0.38,0.3954143151172968,-0.3705442376020237,-0.28,-0.3762482276117309,0.0
053539_Utility_discrimination_2024_2cat_2025-03-17_00h40.52.420,0,0.4809143062079266,0.47,0.4717292568801738,0.3475873207055384,0.32,0.3320531207675332,0.1333269855023882,0.1499999999999999,0.1396761361126406,0.35905087264858,0.54,0.4706903433001647,0.2940854479855219,0.27,0.2834332977707384,0.0649654246630581,0.27,0.1872570455294262,0.0
856852_Utility_discrimination_2024_2cat_2025-03-14_11h38.16.574,0,0.2380367588006366,0.24,0.2346972097772536,1.353686017755609,1.32,1.3388705242350294,-1.1156492589549722,-1.08,-1.1041733144577757,0.4549934374967828,0.38,0.4267004324553211,0.4492102054903933,0.44,0.4521014172485631,0.0057832320063894,-0.06,-0.025400984793242,0.0
059774_Utility_discrimination_2024_2cat_2025-03-18_22h04.37.229,0,0.038850625228096,0.03,0.031992359294823,0.1672571551014328,0.1,0.1307384607592846,-0.1284065298733367,-0.07,-0.0987461014644615,-0.1236342163241604,-0.0799999999999999,-0.117333949950949,0.0371403987560051,-0.0199999999999999,0.0091379443540415,-0.1607746150801656,-0.06,-0.1264718943049906,0.0
848799_Utility_discrimination_2024_2cat_2025-03-12_13h57.25.042,0,0.2892360364510453,0.27,0.2758007821903006,0.3239747331634608,0.32,0.3183356742471577,-0.0347386967124155,-0.0499999999999999,-0.0425348920568571,-0.0435459717465663,0.06,-0.0259014750898446,-0.0717953589187609,0.0,-0.0582076709481944,0.0282493871721945,0.06,0.0323061958583497,0.0
664805_Utility_discrimination_2024_2cat_2025-03-14_19h38.57.391,0,0.1562134339123407,0.15,0.1485259157441609,0.1936595142914479,0.17,0.1792800830798946,-0.0374460803791072,-0.0199999999999999,-0.0307541673357337,-0.0453339356345677,-0.04,-0.0527484068239312,0.2641048236821801,0.18,0.2348697323784656,-0.3094387593167478,-0.22,-0.2876181392023968,0.0
953060_Utility_discrimination_2024_2cat_2025-03-17_16h04.09.188,0,0.1958741740006251,0.19,0.1884687834805488,0.3387761409738993,0.32,0.3280918212276683,-0.1429019669732741,-0.13,-0.1396230377471195,-0.0812143805497475,0.0,-0.0660262169678675,0.5076957958669966,0.43,0.4796743019611194,-0.5889101764167441,-0.43,-0.5457005189289869,0.0
537791_Utility_discrimination_2024_2cat_2025-03-14_20h45.35.085,0,0.1790964734684112,0.17,0.1721223147230727,0.1521695551445223,0.15,0.146683351881557,0.0269269183238889,0.0199999999999999,0.0254389628415157,0.3523017520192451,0.26,0.3165964603508044,-0.093509217255685,-0.0199999999999999,-0.0796693275910142,0.4458109692749301,0.28,0.3962657879418186,0.0
501271_Utility_discrimination_2024_2cat_2025-03-14_15h23.42.123,0,0.100278800126268,0.1,0.0939437172612879,0.1703420870287658,0.16,0.1626102417814153,-0.0700632869024977,-0.06,-0.0686665245201273,-0.1202189415249937,-0.07,-0.1119232352756423,0.3377976764395777,0.24,0.302084296349737,-0.4580166179645715,-0.31,-0.4140075316253793,0.0
788879_Utility_discrimination_2024_2cat_2025-03-15_15h55.58.904,0,0.1811079502538971,0.18,0.1728079303467575,0.2056286373818878,0.16,0.1769542326357407,-0.0245206871279907,0.0199999999999999,-0.0041463022889831,-0.1393066061706749,-0.12,-0.1431046787090101,-0.0349693180251375,-0.07,-0.0554482134321044,-0.1043372881455373,-0.0499999999999999,-0.0876564652769056,0.0
509243_Utility_discrimination_2024_2cat_2025-03-14_00h08.13.599,0,1.0612153033138705,1.04,1.049386487721897,1.2368729354607837,1.2200000000000002,1.226119864720021,-0.175657632146913,-0.1800000000000001,-0.176733376998124,0.5146362623456008,0.63,0.6041530025718969,0.7251542854300536,0.62,0.7282635361933251,-0.2105180230844527,0.01,-0.1241105336214282,0.0
951473_Utility_discrimination_2024_2cat_2025-03-16_19h39.11.089,0,1.669873900650159,1.7000000000000002,1.6752698614805734,1.746755227139522,1.78,1.7465177119636968,-0.0768813264893628,-0.0799999999999998,-0.0712478504831233,0.1000122172608676,0.1,0.0950012422022562,0.0990355261372136,0.1,0.0945502289598565,0.0009766911236539,0.0,0.0004510132423996,0.0
485127_Utility_discrimination_2024_2cat_2025-03-17_23h23.40.430,0,0.3302459211476053,0.26,0.2964839643585091,0.5321367205558548,0.52,0.5235253814391081,-0.2018907994082495,-0.26,-0.227041417080599,0.3379729895798082,0.3,0.3340144843485224,-0.0025824029210842,0.08,0.0124013151280327,0.3405553925008925,0.22,0.3216131692204897,0.0
225967_Utility_discrimination_2024_2cat_2025-03-14_00h37.01.876,0,1.7360216505795374,1.7100000000000002,1.7220881093126044,1.3774609646135776,1.3,1.3472821933517771,0.3585606859659598,0.4100000000000001,0.3748059159608272,0.9673139088761668,1.7000000000000002,1.5967416049104013,0.378917477021697,1.2300000000000002,0.2193996501219568,0.5883964318544698,0.47,1.3773419547884445,0.0
775537_Utility_discrimination_2024_2cat_2025-03-17_14h12.46.286,0,0.1631330244148852,0.16,0.1553340493006799,0.1007139957895358,0.09,0.0935004101778458,0.0624190286253494,0.0699999999999999,0.0618336391228341,-0.0924764043183158,-0.0099999999999999,-0.0784383671158257,-0.0708537149224594,-0.0499999999999999,-0.0770954880299196,-0.0216226893958563,0.0399999999999999,-0.0013428790859061,0.0
649603_Utility_discrimination_2024_2cat_2025-03-15_16h48.20.064,0,0.2518014767162018,0.24,0.2434544496553303,0.2245308759063982,0.22,0.216721082137994,0.0272706008098035,0.02,0.0267333675173362,0.4465161962094929,0.37,0.415300237169299,-0.0900442245370014,-0.0099999999999999,-0.0761430883914811,0.5365604207464943,0.38,0.4914433255607801,0.0
516600_Utility_discrimination_2024_2cat_2025-03-12_14h14.48.442,0,0.1695023538297759,0.16,0.1616960272702711,1.667848030364678,1.65,1.6554657454141513,-1.498345676534902,-1.4900000000000002,-1.4937697181438805,0.4215333893467642,0.3399999999999999,0.3923018614192725,0.0233544102812635,0.1,0.0337363255022751,0.3981789790655007,0.2399999999999999,0.3585655359169973,0.0
